cat,percentile_60,percentile_40,percentile_50,percentile_30,percentile_80,percentile_90,percentile_20,percentile_10,percentile_100,percentile_70
rP_65_EO_JR,21.0,17.0,19.0,15.0,7938.0,7938.0,13.0,11.0,7939.0,24.0
rP_HH_Z_K,40.0,35.0,38.0,33.0,67.0,7938.0,31.0,28.0,7939.0,43.0
rP_N_W_AL,6.0,2.0,3.0,1.0,7938.0,7938.0,1.0,1.0,7939.0,27.0
rBEV_DICHTH,94.0,32.0,46.0,23.0,7224.0,7938.0,16.0,10.0,24096.0,1319.0
rP_EENP_HH,28.0,22.0,25.0,20.0,92.0,7938.0,18.0,15.0,7939.0,34.0
